filename	size_bytes	sha256	source_url	preparation	provenance_note
MassSpecGym.tsv	262334768	0c9cc50450def3f0d4fe2dc09dea1105fc15e635db8c6656bc3e3be37a3bcd95	https://huggingface.co/datasets/roman-bushuiev/MassSpecGym/tree/main/data	Download the pinned MassSpecGym table and verify its SHA-256 hash.	
fp_4096.npy	946602112	1474885f3912f6f507069295016abe81807ab0db2d7449348c49b802a68a07a8	https://huggingface.co/datasets/roman-bushuiev/MassSpecGym/tree/main/data	Prepare the 4096-bit Morgan fingerprint lookup using the repository data tools.	
inchis.npy	12941952	f4216a86414627b02d601f6e3284763921a5d72833cf8a03fb4fcf56edd376bf	https://huggingface.co/datasets/roman-bushuiev/MassSpecGym/tree/main/data	Prepare the candidate InChI lookup using the repository data tools.	
massspecgym_118m_mira.json	4389776373	0662e3e1c392510424832ce0f08c4620799326626d2cbaf7e03d9afc91f6a1e7	https://huggingface.co/datasets/roman-bushuiev/MassSpecGym/tree/main/data/molecules/candidate_pools	Use the local formula-matched PubChem pool to build test-only uncapped helpers.	The local file has no recoverable PubChem snapshot identifier; the recorded SHA-256 hash is authoritative.
MassSpecGym_retrieval_candidates_formula.json	370650823	209f59f532752e10c4457a61a208d8b3fc1dc03cacfe3a05f5eb20a23b7b6d05	https://huggingface.co/datasets/roman-bushuiev/MassSpecGym/tree/main/data	Obtain the official formula candidate JSON distributed with MassSpecGym.	
MassSpecGym_retrieval_candidates_formula_fps.npz	27815576892	f11f5b528d604a5a8b229040f9a384547a50fddd6cb1e79a8d6a5ac7244bb450	https://huggingface.co/datasets/roman-bushuiev/MassSpecGym/tree/main/data	Obtain or generate the official formula candidate fingerprint helper.	
MassSpecGym_retrieval_candidates_formula_inchi.npz	391427808	4d86621d31403638993d79ede176e614d95272648ca45232316dc15517e363bd	https://huggingface.co/datasets/roman-bushuiev/MassSpecGym/tree/main/data	Obtain or generate the official formula candidate identity helper.	
MassSpecGym_retrieval_candidates_formula_uncapped.json	275983306	6f9fe5503e940f05f51f33fbf0fbe5b61c7d9f372bc94525a97249d5de5b1adc	unknown	Generate with scripts/prepare_uncapped_formula_test.py from massspecgym_118m_mira.json.	
MassSpecGym_retrieval_candidates_formula_uncapped_fps.npz	2712745768	5401b343829b8cf583256c2d3c22d0d85a9f980d9419f1dfd81968f8f5e7ae21	unknown	Generate with scripts/prepare_uncapped_formula_test.py from massspecgym_118m_mira.json.	
MassSpecGym_retrieval_candidates_formula_uncapped_inchi.npz	75337848	04fac87d6f20c26662357560775c81b174580382a84940e19f18971117019830	unknown	Generate with scripts/prepare_uncapped_formula_test.py from massspecgym_118m_mira.json.	
MassSpecGym_retrieval_candidates_mass.json	164001599	33616aa9feb50fd0195918ead17851a117cb995f75488b7cce7130ac0c6df8a1	unknown	Supply the exact existing mass-filtered candidate pool identified by the recorded hash.	The mass tolerance, adduct conversion, pre-cap pool, and database snapshot are unavailable.
MassSpecGym_retrieval_candidates_mass_fps.npz	4155404452	4e4f9738925cbb084f4b530cdf6a5e350a88abf4a1c8248432a3630b63b34b3f	unknown	Supply the fingerprint helper paired with the exact mass candidate pool.	
MassSpecGym_retrieval_candidates_mass_inchi.npz	464537544	84309394512aebcb157cbc6f1ac8e3106a538a30cbf7ad28104d9c9df715ebbf	unknown	Supply the identity helper paired with the exact mass candidate pool.	
